,Weight
0,20.44
1,20.244
2,20.549
3,20.755
4,20.74
5,20.847
6,20.063
7,20.453
8,20.719
9,20.283
10,20.362
11,20.162
12,20.131
13,20.304
14,20.345
15,20.076
16,20.386
17,20.419
18,20.527
19,20.427
20,20.435
21,20.426
22,20.769
23,20.483
24,20.463
25,20.397
26,20.894
27,20.673
28,20.975
29,20.369
30,20.832
31,20.178
32,20.608
33,20.68
34,20.884
35,20.483
36,20.395
37,20.635
38,20.424
39,20.652
40,20.211
41,20.331
42,20.196
43,20.427
44,20.494
45,20.506
46,20.435
47,20.939
48,20.152
49,20.353
50,19.984
51,20.79
52,20.244
53,20.369
54,20.652
55,20.593
56,20.675
57,20.619
58,20.226
59,20.277
60,20.639
61,20.565
62,20.312
63,20.452
64,20.526
65,20.612
66,20.528
67,20.318
68,20.877
69,20.597
70,20.514
71,20.666
72,20.672
73,20.373
74,20.315
75,20.722
76,20.26
77,20.188
78,20.642
79,20.628
80,20.941
81,20.789
82,20.761
83,20.523
84,20.5
85,20.591
86,20.495
87,20.289
88,20.145
89,20.666
90,20.589
91,20.624
92,20.543
93,20.295
94,20.748
95,20.438
96,20.332
97,20.336
98,20.414
99,20.409
100,20.395
101,20.67
102,20.603
103,20.378
104,20.761
105,20.148
106,20.61
107,20.477
108,20.508
109,20.369
110,20.39
111,20.67
112,20.661
113,20.591
114,20.638
115,20.826
116,20.561
117,20.618
118,20.871
119,20.433
120,20.708
121,20.529
122,20.728
123,20.47
124,20.344
125,20.715
126,20.384
127,20.607
128,20.609
129,20.437
130,20.412
131,20.227
132,20.899
133,20.387
134,20.517
135,20.453
136,21.067
137,20.75
138,20.676
139,20.766
140,20.538
141,20.608
142,20.45
143,20.256
144,20.753
145,20.442
146,20.239
147,20.653
148,20.657
149,20.586
150,20.581
151,20.37
152,20.645
153,20.605
154,20.715
155,19.946
156,20.593
157,20.793
158,20.155
159,20.509
160,20.771
161,20.838
162,20.548
163,20.529
164,20.871
165,20.491
166,20.369
167,20.681
168,20.498
169,20.708
170,20.587
171,20.791
172,20.476
173,20.308
174,20.192
175,19.987
176,20.521
177,20.56
178,20.496
179,20.54
180,20.552
181,20.795
182,20.517
183,20.277
184,20.222
185,20.538
186,20.69
187,20.198
188,20.378
189,20.605
190,20.457
191,20.431
192,20.467
193,20.412
194,20.339
195,20.629
196,20.512
197,20.753
198,20.552
199,20.511
200,20.545
201,20.543
202,20.499
203,20.255
204,20.547
205,20.53
206,20.65
207,20.353
208,20.623
209,20.544
210,20.523
211,20.674
212,20.861
213,20.238
214,20.253
215,20.612
216,20.738
217,20.324
218,20.071
219,20.32
220,20.54
221,20.586
222,20.303
223,20.328
224,20.592
225,20.524
226,20.392
227,20.52
228,20.312
229,20.321
230,20.709
231,20.825
232,20.366
233,20.466
234,20.523
235,20.869
236,20.619
237,20.831
238,20.535
239,20.812
240,20.371
241,20.307
242,20.739
243,20.684
244,20.154
245,20.754
246,20.46
247,20.273
248,20.124
249,20.335
250,20.595
251,20.684
252,20.486
253,20.489
254,20.543
255,20.43
256,20.686
257,20.401
258,20.969
259,20.649
260,20.622
261,20.304
262,20.674
263,20.789
264,20.354
265,20.44
266,20.232
267,20.771
268,20.709
